ª›ÃﬂŸ:	'1_-3
Ãß≤Ÿñº:	1_-03.FD3
ï™êÕì˙éû:	'11:24:13, 11/26/2021
µÕﬂ⁄∞¿:	F-2700-USER
∫“›ƒ:	'

åıìxåv
”√ﬁŸ:	F-7100å`ï™åıåuåıåıìxåv
ºÿ±Ÿ No.:	2908-007
ROM Ver.:	5J14000 12

ëïíuèåè
ë™íË”∞ƒﬁ:	3éüå≥
√ﬁ∞¿”∞ƒﬁ:	åuåı
ó„ãNäJénîgí∑:	200.0 nm
ó„ãNèIóπîgí∑:	400.0 nm
ó„ãNë§ª›Ãﬂÿ›∏ﬁä‘äu:	10.0 nm
åuåıäJénîgí∑:	300.0 nm
åuåıèIóπîgí∑:	550.0 nm
åuåıë§ª›Ãﬂÿ›∏ﬁä‘äu:	2.0 nm
Ω∑¨›ΩÀﬂ∞ƒﬁ:	12000 nm/min
ó„ãNë§ΩÿØƒ:	5.0 nm
åuåıë§ΩÿØƒ:	5.0 nm
ŒƒœŸìdà≥:	400 V
⁄ΩŒﬂ›Ω:	é©ìÆ 
ΩÕﬂ∏ƒŸï‚ê≥:	On
º¨Ø¿êßå‰:	Off
ìôçÇê¸ä‘äu:	10.000

ëïíuä÷êî
ó„ãNë§(200Å`600nm)  ΩÿØƒÅF5.0/20.0nm  ŒƒœŸìdà≥ÅF400V
åuåıë§(200Å`600nm)  ΩÿØƒÅF5.0/20.0nm  ŒƒœŸìdà≥ÅF250V
åuåıë§(500Å`900nm)  ñ≥
ó„ãNë§(500Å`900nm)  ñ≥

åuåıã≠ìxïWèÄâª:	ON
ïWèÄééóøÃß≤Ÿñº:	STD_20211126_111042.FD3
ïWèÄééóø√ﬁ∞¿
EX:	340.0	nm
EM:	454.0	nm
Data:	28.57
îZìx:	100.000	FLU
ä∑éZåWêî:	3.499565

éwíËîgí∑
No.	EX/EM(nm)	çÇÇ≥(Data)	


√ﬁ∞¿ÿΩƒ
338.0	10.80	22.99	32.30	40.29	17.65	10.87	12.28	14.97	15.22	11.93	21.89	5.826	2.781	11.05	123.3	0.108	0.038	0.027	0.020	0.016	0.005
340.0	13.04	19.69	33.84	41.33	19.01	11.90	12.99	15.23	16.00	12.63	16.41	8.763	3.194	3.445	167.0	0.234	0.046	0.025	0.019	0.021	0.015
342.0	13.70	22.22	36.37	42.13	19.66	12.61	13.80	15.67	16.36	13.13	12.51	14.00	3.825	2.492	150.8	2.446	0.051	0.026	0.025	0.014	0.005
344.0	11.99	19.01	34.11	45.98	21.69	13.04	14.13	15.89	16.86	13.87	10.98	20.06	4.562	2.830	92.70	15.64	0.065	0.025	0.020	0.019	0.012
346.0	13.84	22.73	36.24	43.98	22.53	13.85	14.86	16.44	17.40	14.62	10.99	24.77	5.255	3.374	37.13	56.78	0.079	0.033	0.027	0.018	0.019
348.0	11.18	21.83	36.61	43.87	23.55	14.29	14.91	17.16	17.30	15.14	11.50	25.65	6.108	4.079	10.91	117.8	0.124	0.035	0.027	0.018	0.017
350.0	14.07	23.40	40.17	46.29	24.48	15.25	15.05	16.99	17.94	15.38	12.23	22.74	7.635	4.593	4.165	158.7	0.211	0.049	0.026	0.024	0.014
352.0	12.24	19.97	38.77	45.48	25.65	16.32	15.77	17.05	18.16	16.07	12.76	18.22	10.39	5.265	3.254	142.8	2.379	0.051	0.023	0.025	0.019
354.0	12.00	21.81	37.14	46.47	26.07	16.37	16.11	17.67	18.09	16.61	13.49	14.73	14.45	5.858	3.386	87.20	15.64	0.066	0.029	0.018	0.018
356.0	12.64	24.58	38.96	45.89	27.19	16.43	16.65	17.72	18.67	16.99	14.38	13.13	19.42	6.469	3.710	35.14	53.16	0.091	0.023	0.019	0.020
358.0	13.77	25.02	40.93	46.38	28.16	17.19	16.75	17.67	18.43	17.29	14.68	13.26	23.58	7.268	4.105	9.976	109.6	0.092	0.029	0.029	0.016
360.0	8.547	23.61	44.40	45.60	29.05	17.93	16.60	18.08	18.34	17.48	15.41	13.63	25.57	7.941	4.689	3.242	146.5	0.198	0.046	0.026	0.021
362.0	10.01	23.90	40.78	44.57	29.22	18.04	17.25	17.95	18.71	17.92	15.81	14.18	23.74	9.117	5.248	2.268	132.6	2.533	0.045	0.036	0.022
