ª›ÃﬂŸ:	'1_-3
Ãß≤Ÿñº:	1_-03.FD3
ï™êÕì˙éû:	'11:24:13, 11/26/2021
µÕﬂ⁄∞¿:	F-2700-USER
∫“›ƒ:	'

åıìxåv
”√ﬁŸ:	F-7100å`ï™åıåuåıåıìxåv
ºÿ±Ÿ No.:	2908-007
ROM Ver.:	5J14000 12

ëïíuèåè
ë™íË”∞ƒﬁ:	3éüå≥
√ﬁ∞¿”∞ƒﬁ:	åuåı
ó„ãNäJénîgí∑:	200.0 nm
ó„ãNèIóπîgí∑:	400.0 nm
ó„ãNë§ª›Ãﬂÿ›∏ﬁä‘äu:	10.0 nm
åuåıäJénîgí∑:	300.0 nm
åuåıèIóπîgí∑:	550.0 nm
åuåıë§ª›Ãﬂÿ›∏ﬁä‘äu:	2.0 nm
Ω∑¨›ΩÀﬂ∞ƒﬁ:	12000 nm/min
ó„ãNë§ΩÿØƒ:	5.0 nm
åuåıë§ΩÿØƒ:	5.0 nm
ŒƒœŸìdà≥:	400 V
⁄ΩŒﬂ›Ω:	é©ìÆ 
ΩÕﬂ∏ƒŸï‚ê≥:	On
º¨Ø¿êßå‰:	Off
ìôçÇê¸ä‘äu:	10.000

ëïíuä÷êî
ó„ãNë§(200Å`600nm)  ΩÿØƒÅF5.0/20.0nm  ŒƒœŸìdà≥ÅF400V
åuåıë§(200Å`600nm)  ΩÿØƒÅF5.0/20.0nm  ŒƒœŸìdà≥ÅF250V
åuåıë§(500Å`900nm)  ñ≥
ó„ãNë§(500Å`900nm)  ñ≥

åuåıã≠ìxïWèÄâª:	ON
ïWèÄééóøÃß≤Ÿñº:	STD_20211126_111042.FD3
ïWèÄééóø√ﬁ∞¿
EX:	340.0	nm
EM:	454.0	nm
Data:	28.57
îZìx:	100.000	FLU
ä∑éZåWêî:	3.499565

éwíËîgí∑
No.	EX/EM(nm)	çÇÇ≥(Data)	


√ﬁ∞¿ÿΩƒ
494.0	8.635	13.68	17.12	20.92	21.74	17.55	14.79	11.80	10.31	9.464	8.942	8.511	8.831	9.000	9.176	8.654	8.209	7.961	6.993	6.311	5.389
496.0	4.338	12.73	18.78	21.87	21.01	17.03	14.45	11.75	10.15	9.219	8.473	8.511	8.651	8.728	8.867	8.473	8.015	7.624	6.941	6.194	5.303
498.0	5.322	13.35	18.34	21.56	20.55	17.67	13.97	11.29	9.525	9.017	8.483	8.164	8.215	8.405	8.485	8.179	7.761	7.246	6.830	6.042	5.252
500.0	5.231	13.79	13.78	18.09	19.81	16.71	13.39	11.15	9.416	8.754	8.009	8.067	7.968	8.138	8.151	7.873	7.459	7.191	6.497	5.970	5.115
502.0	6.365	9.303	15.82	19.90	20.10	16.88	12.95	10.82	9.225	8.601	8.028	7.736	7.931	7.987	7.917	7.523	7.243	6.918	6.526	5.776	4.971
504.0	7.550	10.12	18.14	21.30	18.96	16.80	13.32	10.84	9.075	8.327	7.860	7.570	7.686	7.876	7.637	7.415	7.009	6.774	6.298	5.659	5.044
506.0	7.903	11.42	15.90	19.46	18.55	15.26	12.16	10.47	9.135	8.174	7.722	7.267	7.425	7.505	7.403	7.103	6.868	6.595	6.167	5.524	4.858
508.0	5.486	4.144	13.25	20.07	19.18	15.40	11.90	10.24	8.758	7.949	7.318	6.882	7.127	7.156	7.073	6.932	6.598	6.379	6.051	5.326	4.788
510.0	1.305	8.614	13.35	18.22	18.58	15.16	12.39	9.790	8.682	8.083	7.131	7.042	7.147	7.106	6.826	6.590	6.472	6.375	5.708	5.194	4.583
512.0	6.958	6.689	16.11	18.56	18.02	14.46	12.02	9.815	8.487	7.804	7.015	6.827	6.874	7.046	6.764	6.433	6.211	5.967	5.628	5.073	4.367
514.0	9.861	9.527	16.20	18.45	17.53	14.40	11.53	9.356	8.145	7.559	6.876	6.651	6.564	6.610	6.379	6.081	5.886	5.837	5.485	4.859	4.365
516.0	5.643	8.746	16.90	17.28	17.64	13.27	11.45	8.881	7.949	7.368	6.627	6.323	6.230	6.453	6.278	5.933	5.687	5.538	5.136	4.802	4.259
518.0	6.072	8.346	12.43	13.99	16.44	13.24	10.78	8.728	7.718	7.037	6.507	6.188	6.015	6.254	5.929	5.647	5.475	5.303	4.984	4.553	4.089
520.0	2.786	9.834	10.76	14.33	16.32	12.74	10.79	8.574	7.394	7.019	6.345	5.999	6.061	6.132	5.938	5.638	5.311	5.150	4.936	4.408	3.925
522.0	9.623	8.063	11.94	15.33	16.05	12.76	10.60	8.403	7.393	6.829	6.152	5.870	5.765	5.922	5.754	5.283	5.193	5.028	4.700	4.412	3.916
524.0	5.156	3.853	11.12	14.78	14.92	12.32	10.15	8.357	7.047	6.408	5.886	5.647	5.514	5.724	5.584	5.169	5.046	4.915	4.505	4.122	3.919
526.0	9.597	9.638	6.716	13.57	13.55	11.75	9.784	8.139	6.912	6.350	5.849	5.387	5.453	5.362	5.167	4.969	4.734	4.582	4.374	4.121	3.598
528.0	1.530	4.483	10.90	14.78	13.77	11.12	9.980	7.954	6.953	6.085	5.435	5.254	5.269	5.231	5.153	4.908	4.505	4.585	4.384	3.940	3.647
530.0	-0.333	8.452	11.84	13.17	12.27	11.11	9.547	7.522	6.822	5.941	5.483	5.244	5.069	4.981	5.045	4.712	4.501	4.346	4.219	3.834	3.438
532.0	0.607	3.722	11.42	12.14	12.60	10.59	9.258	7.648	6.444	5.672	5.364	4.964	4.837	5.074	4.843	4.414	4.307	4.203	4.036	3.686	3.440
534.0	4.603	7.482	11.94	12.50	11.65	10.90	8.797	6.876	6.090	5.479	5.096	4.768	4.888	4.837	4.654	4.444	4.155	4.072	3.850	3.550	3.324
536.0	10.14	1.862	6.625	11.58	12.47	10.07	8.987	7.385	6.219	5.490	4.909	4.720	4.694	4.819	4.381	4.236	3.942	4.050	3.952	3.550	3.165
538.0	6.594	6.354	7.181	10.32	12.53	9.574	8.291	7.459	6.160	5.235	4.448	4.482	4.499	4.629	4.228	4.042	3.888	3.853	3.706	3.392	3.151
540.0	6.517	3.725	8.633	10.52	10.66	8.816	7.283	7.395	5.688	4.920	4.451	4.631	4.517	4.459	4.223	3.891	3.666	3.687	3.636	3.306	3.095
542.0	3.283	0.109	9.738	11.85	9.893	8.676	7.450	7.741	5.223	4.861	4.607	4.079	4.268	4.036	4.100	3.933	3.728	3.630	3.504	3.125	3.041
544.0	6.037	6.706	6.149	9.223	10.45	8.981	7.827	8.016	5.443	4.641	4.387	4.035	4.091	4.056	4.092	3.682	3.546	3.482	3.380	3.034	2.833
546.0	1.453	9.210	6.534	9.022	8.664	9.571	6.824	7.901	5.365	4.592	4.181	3.907	3.908	4.013	3.941	3.609	3.382	3.432	3.165	3.034	2.752
548.0	-0.364	-0.933	7.580	8.986	9.863	8.801	6.504	6.791	5.298	4.405	4.195	3.757	3.806	3.733	3.715	3.591	3.307	3.314	2.974	2.936	2.692
550.0	-1.966	3.225	7.842	9.976	9.649	8.354	6.931	6.408	5.574	4.500	3.927	3.865	3.654	3.768	3.611	3.543	3.202	3.260	2.977	2.750	2.680
